[2026-05-16 21:57:29] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:30] DITOLAK Skor 70% Nominal Rp42000 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp 42.000', 'rrn': '211022545058', 'tanggal': '', 'aplikasiAsal': 'Bank Mandiri', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 70}
[2026-05-16 21:57:34] DITOLAK Skor 40% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp.', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 40}
[2026-05-16 21:57:34] DITOLAK Skor 70% Nominal Rp10000000 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp 100,000.00', 'rrn': '9897483854729721', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 70}
[2026-05-16 21:57:35] DITOLAK Skor 70% Nominal Rp1050000 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': 'Rp1.050.000', 'rrn': '', 'tanggal': '30 Mei 2022', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 70}
[2026-05-16 21:57:36] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': 'DANA', 'penerima': '', 'confidence': 30}
[2026-05-16 21:57:36] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
[2026-05-16 21:57:37] DITOLAK Skor 60% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '081225636394', 'tanggal': '4 Apr 2020', 'aplikasiAsal': 'Bank BCA', 'pengirim': '', 'aplikasiTujuan': 'OVO', 'penerima': '', 'confidence': 60}
[2026-05-16 21:57:38] DITOLAK Skor 30% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '13/10/2022', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 30}
[2026-05-16 21:57:38] DITOLAK Skor 0% Nominal Rp0 Tagihan Rp0 Data {'docType': 'Bukti Pembayaran', 'nominal': '', 'rrn': '', 'tanggal': '', 'aplikasiAsal': '', 'pengirim': '', 'aplikasiTujuan': '', 'penerima': '', 'confidence': 0}
